                                                                                     Links for political articles,                Links to find the articles,,
https://www.livemint.com/politics/news/may-this-festive-season-pm-narendra-modi-and-rahul-gandhi-extend-christmas-wishes-11703475600038.html,,,
https://www.livemint.com/politics/news/proposed-congress-president-mallikarjun-kharges-name-mamata-banerjee-on-pms-face-for-india-bloc-11703054017602.html,,,
https://www.livemint.com/politics/news/congress-organises-massive-rally-in-nagpur-10-lakh-people-expected-to-attend-event-on-december-28-11702634914717.html,,,
https://www.livemint.com/politics/news/amit-shah-targets-opposition-in-rajya-sabha-as-sc-upholds-abrogation-of-article-370-in-jk-11702303486291.html,,,
https://www.livemint.com/politics/news/sanjay-raut-invokes-uddhav-thackeray-s-name-for-india-bloc-s-pm-candidate-says-he-is-a-nationalist-face-11701856880134.html,,,
https://www.livemint.com/politics/news/bjp-winning-elections-in-gaumutra-states-dmk-mps-comments-dnv-senthilkumar-s-bjp-says-take-mental-treatment-11701779541455.html,,,
https://www.livemint.com/politics/news/congress-bharat-jodo-yatra-2-0-december-cannot-be-ruled-out-say-sources-11699362339835.html,,,
https://www.livemint.com/politics/news/dont-trigger-me-wait-and-watch-cm-ibrahim-warns-hd-deve-gowda-over-expulsion-from-jds-chief-post-11697763474355.html,,,
https://www.livemint.com/politics/news/congress-mla-sukhpal-singh-khaira-detained-by-punjab-police-in-connection-with-old-drug-case-11695878150766.html,,,
https://www.livemint.com/politics/news/bjp-cant-set-foot-here-aiadmk-and-bjp-snapping-ties-in-tamil-nadu-explained-11695039878282.html,,,
https://www.livemint.com/politics/news/pm-modi-cant-be-defeated-by-sheep-and-goats-cm-shinde-takes-a-sharp-jibe-at-the-opposition-11695009004880.html,,,
https://www.livemint.com/politics/news/rahul-gandhi-questions-telangana-cms-proximity-with-bjp-asks-why-no-ed-cbi-i-t-cases-against-him-11694961197396.html,,,
https://www.livemint.com/politics/news/become-a-sanatani-congress-leader-suggestion-to-pm-modi-on-his-birthday-11694928744792.html,,,
https://www.livemint.com/politics/news/india-has-hidden-agenda-to-end-sanatana-dharma-attack-indias-culture-pm-modi-11694681434175.html,,,
https://www.livemint.com/politics/news/bypoll-result-2023-udf-chandy-oommen-india-bloc-kerala-puthuppally-assembly-seat-bjp-nda-chennithala-cpm-11694159561882.html,,,
https://www.livemint.com/politics/news/prime-minister-of-bharat-sambit-patra-shares-invitation-of-pm-modis-indonesia-visit-amid-indias-name-change-rumour-11693960587333.html,,,
https://www.livemint.com/politics/news/no-rakhi-for-rahul-gandhi-congress-issues-clarification-as-bjp-scrutinises-wayanad-mps-wrist-11693755696360.html,,,
https://www.livemint.com/politics/news/congress-youth-president-says-will-gift-smriti-irani-gas-cylinder-she-carried-in-201314-11693241373957.html,,,
https://www.livemint.com/politics/news/ajit-pawar-dismisses-speculations-of-joining-sharad-pawar-says-nobody-permanent-friend-in-politics-11693187155302.html,,,
https://www.livemint.com/politics/news/nitish-kumar-is-a-worthy-of-pm-post-jd-u-leader-on-bihar-cm-contesting-lok-sabha-polls-2024-11693101776870.html,,,
https://www.livemint.com/politics/news/rss-defamation-case-rahul-gandhi-moves-bombay-hc-against-thane-court-order-11692680831960.html,,,
https://www.livemint.com/politics/news/prime-minister-narendra-modi-will-visit-south-africa-and-greece-next-week-11692370467632.html,,,
https://www.livemint.com/politics/news/bjp-released-the-bulls-akhilesh-yadav-accuses-cm-adityanath-tried-to-derail-samajwadi-party-event-in-fatehpur-11692367268152.html,,,
https://www.livemint.com/politics/news/congress-jairam-ramesh-brands-pm-modi-as-tsunami-of-lies-shares-article-labeling-him-as-fascist-11691908010154.html,,,
https://www.livemint.com/politics/news/rahul-gandhis-flying-kiss-in-parliament-was-a-gesture-of-love-and-affection-shiv-sena-ubt-mp-priyanka-chaturvedi-11691633454829.html,,,
https://www.livemint.com/politics/news/rahul-gandhi-congress-celebrates-as-lok-sabha-restores-wayanad-mp-membership-11691384375019.html,,,
https://www.livemint.com/politics/news/pm-modi-is-very-similar-to-indira-rajiv-gandhi-as-says-maharashtra-deputy-cm-ajit-pawar-11690953716663.html,,,
https://indianexpress.com/article/political-pulse/bjp-leaders-rahul-yatra-assam-ne-9136211/,,,
https://indianexpress.com/article/political-pulse/1991-places-of-worship-act-gyanvapi-mosque-case-9138210/,,,
